APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,Property on Map,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
5071020017,01/05/2018,Multi-Family,4617 W SATURN ST,LOS ANGELES,CA,90019,10,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,"4617 W SATURN ST
LOS ANGELES, CA 90019
(34.043345, -118.339138)",23080,650,1106,,12,69
5569018001,01/08/2018,Single Family,2001 N NICHOLS CANYON ROAD,LOS ANGELES,CA,90046,4,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084,"2001 N NICHOLS CANYON ROAD
LOS ANGELES, CA 90046
(34.107406, -118.360505)",23677,457,625,,7,82
2074029010,01/12/2018,Single Family,4932 N HEAVEN AVE,LOS ANGELES,CA,91364,3,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,"4932 N HEAVEN AVE
LOS ANGELES, CA 91364
(34.15929, -118.633069)",19346,310,650,,4,49
2217018018,05/02/2018,Single Family,7034 N TYRONE AVE,VAN NUYS,CA,91405,6,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405,909-289-1453,"7034 N TYRONE AVE
VAN NUYS, CA 91405
(34.198593, -118.444351)",19733,233,880,,3,18
5219021005,09/13/2018,Single Family,5452 E TEMPLETON ST,LOS ANGELES,CA,90032,14,"Nationstar Mortgage, dba Mr. Cooper",Jaime Burgess,888-456-0714,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"5452 E TEMPLETON ST
LOS ANGELES, CA 90032
(34.086156, -118.16378)",23449,502,609,,9,91
2535015020,01/12/2018,Single Family,13253 W PINNEY ST,LOS ANGELES,CA,91331,7,Shellpoint Mortgage Services,Tracy Hall,866-825-2174,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"13253 W PINNEY ST
LOS ANGELES, CA 91331
(34.268154, -118.421157)",18907,24,1376,,1,11
2017025052,09/05/2018,Single Family,23937 W JENSEN DR,LOS ANGELES,CA,91304,12,"Nationstar Mortgage, dba Mr. Cooper",Jaime Burgess,888-456-0714,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"23937 W JENSEN DR
LOS ANGELES, CA 91304
(34.223093, -118.648454)",4279,91,237,53,2,44
5420018017,01/10/2018,Single Family,1811 W BAXTER ST,LOS ANGELES,CA,90026,13,M&T Bank,Grace Wesson,877-338-3791,Safeguard,Ryan Sabo,7887   Safeguard Cir  Valley View OH 44125,800-852-8306,"1811 W BAXTER ST
LOS ANGELES, CA 90026
(34.090216, -118.251964)",23444,480,1427,,8,31
2177001007,07/03/2018,Single Family,19151 W GAYLE PL,LOS ANGELES,CA,91356,3,JP Morgan Chase NA,Amy Lott,888-310-1506,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,800-852-8306,"19151 W GAYLE PL
LOS ANGELES, CA 91356
(34.153879, -118.550699)",19339,329,1523,,4,10
5006019025,01/12/2018,Single Family,5351 S 7TH AVE,LOS ANGELES,CA,90043,8,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,"5351 S 7TH AVE
LOS ANGELES, CA 90043
(33.993508, -118.324706)",23674,752,1036,7,14,24
6121006038,01/31/2018,Single Family,737 W 167TH ST,LOS ANGELES,CA,90247,15,Specialized Loan Servicing LLC on behalf of beneficiary,Douglas Randall,720-563-8186,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,"737 W 167TH ST
LOS ANGELES, CA 90247
(33.879863, -118.288185)",24684,942,1197,7,15,53
2128004045,08/08/2018,Single Family,6429 N WILBUR AVE,LOS ANGELES,CA,91335,3,M&T Bank,Eric Moore,877-338-3791,MSI,Property Preservation,500   Grapeview HWY  Hurst TX 76054,800-346-2432,"6429 N WILBUR AVE
LOS ANGELES, CA 91335
(34.187586, -118.544764)",18909,270,889,,4,12
2105017006,01/09/2018,Single Family,8165 N TUNNEY AVE,LOS ANGELES,CA,91335,3,Mr. Cooper,Paula Acosta,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405,909-289-1453,"8165 N TUNNEY AVE
LOS ANGELES, CA 91335
(34.218438, -118.556424)",18909,255,1545,,4,12
6023001015,01/25/2018,Single Family,639 E 73RD ST,LOS ANGELES,CA,90001,9,Specialized Loan Servicing LLC on behalf of beneficiary,Douglas Randall,720-563-8186,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,"639 E 73RD ST
LOS ANGELES, CA 90001
(33.973854, -118.264085)",22350,790,997,7,13,46
5572031058,05/30/2018,Single Family,7270  HILLSIDE AVE,LOS ANGELES,CA,90046,4,USAA FEDERAL SAVINGS BANK USAA FSB,ERICA LOPEZ,800-531-7013,Los Angeles County Property Preservation,Eddie Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"7270 HILLSIDE AVE
LOS ANGELES, CA 90046
(34.104625, -118.348291)",23677,456,904,,7,82
2542019010,01/03/2018,Single Family,9651 N SUNLAND PL,LOS ANGELES,CA,91040,7,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,National Real Estate Solutions,Mingham Brian,299  W Hillcrest DR 117 Thousand Oaks CA 91360,805-496-1084,"9651 N SUNLAND PL
LOS ANGELES, CA 91040
(34.246636, -118.359306)",3221,10,1373,8,1,9
2038023020,09/28/2018,Single Family,22631 W MOBILE ST,LOS ANGELES,CA,91307,12,Freedom Mortgage,PROPERTY PRESERVATION DEPARTMENT,317-537-3748,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGLES CA 90010,213-383-2097,"22631 W MOBILE ST
LOS ANGELES, CA 91307
(34.188182, -118.620249)",4283,296,320,,2,44
5060029013,01/29/2018,Single Family,2120 S 3RD AVE,LOS ANGELES,CA,90018,10,"THE BANK OF NEW YORK MELLON c/o Bayview Loan Servicing, LLC",Michael Lopata,954-590-7161,"M&M MORTGAGE SERVICES, INC.",Frances Guerra,2031  E Cerritos AVE  Anaheim CA 92806,786-871-0818,"2120 S 3RD AVE
LOS ANGELES, CA 90018
(34.037426, -118.320066)",23079,658,927,,12,19
7560005010,03/01/2018,Single Family,913 S WEYMOUTH AVE,SAN PEDRO,CA,90732,15,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,"Kash Construction and Management, INC.",Rob Kash,533  S Los Angeles ST 504 Los Angeles CA 90013,818-636-9795,"913 S WEYMOUTH AVE
SAN PEDRO, CA 90732
(33.73568, -118.309688)",3343,978,1450,,15,25
5018036035,01/15/2018,Multi-Family,472 W 47TH PL 1-4,LOS ANGELES,CA,90037,9,Shellpoint Mortgage Services,Tracy Hall,866-825-2174,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"472 W 47TH PL 1-4
LOS ANGELES, CA 90037
(34.000132, -118.281966)",23668,739,896,7,13,2
2176028017,01/16/2018,Single Family,4807 N BREWSTER DR,LOS ANGELES,CA,91356,3,Shellpoint Mortgage Services,Tracy Hall,866-825-2174,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"4807 N BREWSTER DR
LOS ANGELES, CA 91356
(34.158876, -118.541714)",19339,329,1557,,4,10
5052009022,01/09/2018,Single Family,2312 W 29TH PL,LOS ANGELES,CA,90018,10,Champion Mortgage,Jennifer Hathaway,972-894-2950,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"2312 W 29TH PL
LOS ANGELES, CA 90018
(34.028215, -118.318219)",23079,660,918,7,12,19
2272005016,01/03/2018,Single Family,3859 N SHERWOOD PL,LOS ANGELES,CA,91423,4,"Financial Freedom, a division of CIT bank.",Dan Stack,800-441-4428,Red A Ranch,Robert Buchanan,132  N Pine ST A San Gabriel CA 91775,626-287-4431,"3859 N SHERWOOD PL
LOS ANGELES, CA 91423
(34.141268, -118.436287)",19736,341,695,,7,83
5302003122,01/31/2018,Single Family,4260 E VIA ARBOLADA,LOS ANGELES,CA,90042,14,"champion Mortgage Company Nationstar Mortgage LLC, DBA",Darryl Sanders,214-687-4188,Carlos Sims,Carlos Sims,11820   Cherrylee DR  El Monte CA 91732,626-485-8889,"4260 E VIA ARBOLADA
LOS ANGELES, CA 90042
(34.097176, -118.187976)",23673,499,364,,9,92
2249027018,07/17/2018,Single Family,5517 N WILLIS AVE,VAN NUYS,CA,91411,4,Flagstar BANK,Eric Moore,877-338-3791,BRON Inc.,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,877-338-3791,"5517 N WILLIS AVE
VAN NUYS, CA 91411
(34.170905, -118.45525)",19735,247,666,,7,83
6038009040,05/25/2018,Multi-Family,8715 1/2 S DENVER AVE,LOS ANGELES,CA,90044,8,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,OGIWA INCORPORATED,Olatunji Giwa,1028  N Lake AVE 208 PASADENA CA 91104,626-787-1471,"8715 1/2 S DENVER AVE
LOS ANGELES, CA 90044
(33.958311, -118.283883)",23675,801,931,7,14,45
5523014019,05/03/2018,Multi-Family,533 N ARDEN BLVD,LOS ANGELES,CA,90004,4,"Del Toro Loan Servicing, Inc.",LaTonya Coleman,619-474-5400,LRES Corp.,Kathy Golden,765   The City Drive South  300 Orange CA 92868,800-434-6125,"533 N ARDEN BLVD
LOS ANGELES, CA 90004
(34.079934, -118.326)",22721,448,427,,7,86
4377025032,01/18/2018,Single Family,1991 N STRADELLA ROAD,LOS ANGELES,CA,90077,5,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,"1991 N STRADELLA ROAD
LOS ANGELES, CA 90077
(34.104496, -118.461473)",24037,828,792,,6,81
4009005005,09/24/2018,Single Family,2922 W 73RD ST,LOS ANGELES,CA,90043,8,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"2922 W 73RD ST
LOS ANGELES, CA 90043
(33.973668, -118.325124)",23674,758,354,7,14,24
5211014004,01/22/2018,Multi-Family,2327 1/2 N HOLGATE SQ,LOS ANGELES,CA,90031,1,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,"2327 1/2 N HOLGATE SQ
LOS ANGELES, CA 90031
(34.072828, -118.200907)",23448,487,337,,11,1
4105009004,06/06/2018,Single Family,7746 S AIRPORT BLVD,LOS ANGELES,CA,90045,11,Bank of America,Gerry Checky,800-852-8306,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"7746 S AIRPORT BLVD
LOS ANGELES, CA 90045
(33.970084, -118.387177)",23676,925,1062,10,10,16
5527008007,01/12/2018,Single Family,724 N GENESEE AVE,LOS ANGELES,CA,90046,5,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,"724 N GENESEE AVE
LOS ANGELES, CA 90046
(34.084566, -118.358419)",23677,447,804,,6,26
4305027021,01/03/2018,Single Family,9017 W CRESTA DR,LOS ANGELES,CA,90035,5,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"9017 W CRESTA DR
LOS ANGELES, CA 90035
(34.045952, -118.387096)",23666,875,749,,6,95
2362005033,08/15/2018,Single Family,4601 N COLDWATER CANYON AVE,LOS ANGELES,CA,91604,2,Bourns Employees Federal Credit Union,Renee Byrom,951-781-5600,NULL,NULL,,NULL,"4601 N COLDWATER CANYON AVE
LOS ANGELES, CA 91604
(34.154322, -118.413782)",8492,345,966,,5,84
5454012037,09/05/2018,Single Family,3677 E ROSEVIEW AVE,LOS ANGELES,CA,90065,1,Quicken Loans,Grace Wesson,877-338-3791,BRON Inc.,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,877-338-3791,"3677 E ROSEVIEW AVE
LOS ANGELES, CA 90065
(34.09912, -118.223743)",24030,379,1290,13,11,92
6006020012,01/09/2018,Multi-Family,320 E GAGE AVE,LOS ANGELES,CA,90003,9,Nationstar Mortgage LLC,Paula Acosta,972-315-8837,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,"320 E GAGE AVE
LOS ANGELES, CA 90003
(33.982441, -118.268871)",22352,786,996,7,13,46
6038017041,05/25/2018,Multi-Family,8622 1/2 S BARING CROSS ST,LOS ANGELES,CA,90044,8,Shellpoint Mortgage,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"8622 1/2 S BARING CROSS ST
LOS ANGELES, CA 90044
(33.959423, -118.289346)",23675,801,1164,7,14,45
2106021011,01/19/2018,Single Family,8225 N CORBIN AVE,LOS ANGELES,CA,91306,3,Wilmington Savings Fund Society FSB C/O Alta Residential Solutions,Cody Oviatt,801-736-8575,Coldwell Banker,Philip Boroda,15490   Ventura BLVD 100 Sherman Oaks CA 91340,818-728-3944,"8225 N CORBIN AVE
LOS ANGELES, CA 91306
(34.218744, -118.562291)",18909,273,1463,,4,66
5018016009,05/31/2018,Single Family,934 W 50TH ST,LOS ANGELES,CA,90037,9,Fay Servicing LLC - Eric Moore,Eric Moore,877-338-3791,MCS-Bron,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,813-387-8306,"934 W 50TH ST
LOS ANGELES, CA 90037
(33.997858, -118.290394)",23668,738,989,7,13,2
4007025006,01/01/2018,Single Family,6322 S 2ND AVE,LOS ANGELES,CA,90043,8,"U.S. Bank, N.A., C/O Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   Wilshire WAY  Los Angeles CA 90010,213-383-2097,"6322 S 2ND AVE
LOS ANGELES, CA 90043
(33.981905, -118.31967)",23674,754,1059,7,14,24
5113034008,02/09/2018,Multi-Family,4204 1/2 S WALL ST,LOS ANGELES,CA,90011,9,Caliber Home Loans,Orit Gadish,323-606-1919,Los Angeles REO Brokers,Orit Gadish,269  S Beverly DR 453 Beverly Hills CA 90212,323-606-1919,"4204 1/2 S WALL ST
LOS ANGELES, CA 90011
(34.007296, -118.271638)",22727,715,978,7,13,
6039003045,05/16/2018,Single Family,427 W 91ST PL,LOS ANGELES,CA,90003,8,RoundPoint Mortgage Servicing Corporation,Byron Gladden,704-426-8869,Alliance Field Inspection Services attn Assero Services,Richere Laporte,7786   Holland Park ST  Chino CA 91708,866-832-1711,"427 W 91ST PL
LOS ANGELES, CA 90003
(33.953529, -118.281264)",22352,801,931,7,14,45
2366029006,09/19/2018,Single Family,4160 N ELMER AVE,LOS ANGELES,CA,91602,2,PNC MORTGAGE PRESALE,THOMAS DAY,937-910-1200,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"4160 N ELMER AVE
LOS ANGELES, CA 91602
(34.14411, -118.3768)",8489,348,389,,5,84
4103009066,09/17/2018,Single Family,7120 S LA TIJERA BLVD,LOS ANGELES,CA,90045,11,Fay Servicing LLC - Eric Moore,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"7120 S LA TIJERA BLVD
LOS ANGELES, CA 90045
(33.973945, -118.375594)",23676,926,1064,10,10,16
2122007027,01/22/2018,Single Family,6901 N ENFIELD AVE,LOS ANGELES,CA,91335,3,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"6901 N ENFIELD AVE
LOS ANGELES, CA 91335
(34.195742, -118.523414)",18909,264,245,,4,12
5523030003,01/04/2018,Multi-Family,580 N WINDSOR BLVD,LOS ANGELES,CA,90004,4,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"580 N WINDSOR BLVD
LOS ANGELES, CA 90004
(34.081282, -118.319632)",22721,449,1308,,7,86
6054004023,01/08/2018,Single Family,811 W 98TH ST,LOS ANGELES,CA,90044,8,RUSHMORE LOAN MANAGEMENT SERVICES,Property Preservation,949-341-5601,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"811 W 98TH ST
LOS ANGELES, CA 90044
(33.947179, -118.289971)",23675,802,1250,7,14,45
2149011008,08/21/2018,Single Family,20441 W AETNA ST,LOS ANGELES,CA,91367,3,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,"20441 W AETNA ST
LOS ANGELES, CA 91367
(34.178852, -118.578938)",19347,295,484,,4,49
5580009013,03/01/2018,Single Family,2408 N DETOUR DR,LOS ANGELES,CA,90068,4,Reverse Mortgage Solutions Inc.,Amy Sporn,832-616-5910,BRON Inc.,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,877-338-3791,"2408 N DETOUR DR
LOS ANGELES, CA 90068
(34.113499, -118.319965)",24033,404,550,,7,64
2107011026,01/19/2018,Multi-Family,20137 W ARMINTA ST,WINNETKA,CA,91306,3,Fannie Mae,Marsha Peters,972-656-8004,Pinnacle Estate Properties,Raquel Magro,18569   Devonshire ST  Northridge CA 91324,818-968-4585,"20137 W ARMINTA ST
WINNETKA, CA 91306
(34.213163, -118.572333)",4282,275,431,,4,66
7442030111,01/16/2018,Single Family,2285 N STONEWOOD CT,LOS ANGELES,CA,90732,15,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,"2285 N STONEWOOD CT
LOS ANGELES, CA 90732
(33.764035, -118.308094)",3343,968,1441,,15,25
5520015016,01/09/2018,Multi-Family,401 N KENMORE AVE,LOS ANGELES,CA,90004,13,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,"401 N KENMORE AVE
LOS ANGELES, CA 90004
(34.077877, -118.296977)",22721,454,455,,8,89
4286008004,01/29/2018,Single Family,708 S HAMPTON DR,LOS ANGELES,CA,90291,11,"O.K.,LLC",Oleg Khersonsky,818-322-0587,"O.K.,LLC",Oleg Khersonsky,17337   VENTURA BLVD 318 ENCINO CA 91316,818-322-0587,"708 S HAMPTON DR
LOS ANGELES, CA 90291
(33.99402, -118.474521)",25073,908,734,10,10,30
6006009019,01/03/2018,Multi-Family,6116 S WALL ST,LOS ANGELES,CA,90003,9,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,"Remedy Field Services, Inc",Aaron Davitian,15615   Alton PKWY 450 Irvine CA 92618,619-862-0918,"6116 S WALL ST
LOS ANGELES, CA 90003
(33.983729, -118.271775)",22352,786,858,7,13,46
2314013026,01/22/2018,Single Family,7918 N ELOISE AVE,LOS ANGELES,CA,91352,6,JP Morgan Chase NA,Amy Lott,888-310-1506,Pinelands Preservation,Will Wheelehan,44501   Auburn BLVD  Sacramento CA 95841,916-277-8243,"7918 N ELOISE AVE
LOS ANGELES, CA 91352
(34.214247, -118.377195)",19335,165,1249,,3,21
6074018017,09/14/2018,Single Family,229 W 111TH ST,LOS ANGELES,CA,90061,8,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,"229 W 111TH ST
LOS ANGELES, CA 90061
(33.934773, -118.277298)",24355,812,704,7,14,
5071022033,01/26/2018,Multi-Family,4626 W ST ELMO DR,LOS ANGELES,CA,90019,10,"Trinity Financial Services, LLC",Don Madden III,855-818-6806,"Altisource Solutions, Inc",Altisource Solutions,"1000   Abernathy RD, Northpark Town, Center, Building 400   Atlanta GA 30328",866-952-6514,"4626 W ST ELMO DR
LOS ANGELES, CA 90019
(34.042424, -118.339265)",23080,650,1106,,12,69
7442010006,08/14/2018,Single Family,1912 N ROSEGLEN AVE,LOS ANGELES,CA,90731,15,Bank of America,VPR Department,800-669-2443,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"1912 N ROSEGLEN AVE
LOS ANGELES, CA 90731
(33.762928, -118.300306)",3342,968,1443,,15,25
5066019014,01/10/2018,Single Family,1754 S FAIRFAX AVE,LOS ANGELES,CA,90019,10,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"1754 S FAIRFAX AVE
LOS ANGELES, CA 90019
(34.044113, -118.368735)",23080,643,1350,,12,23
6004019002,01/05/2018,Single Family,6414 S HOOVER ST,LOS ANGELES,CA,90044,8,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,"6414 S HOOVER ST
LOS ANGELES, CA 90044
(33.980877, -118.287059)",23675,773,979,7,14,
2166006002,01/10/2018,Single Family,5315 N WINNETKA AVE,LOS ANGELES,CA,91364,3,Bank of America,VPR Department,800-669-2443,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"5315 N WINNETKA AVE
LOS ANGELES, CA 91364
(34.166577, -118.570819)",19346,311,1492,,4,49
2216007013,09/13/2018,Single Family,7014 N COLBATH AVE,LOS ANGELES,CA,91405,2,"Nationstar Mortgage, dba Mr. Cooper",Jaime Burgess,888-456-0714,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"7014 N COLBATH AVE
LOS ANGELES, CA 91405
(34.198098, -118.436712)",19733,234,506,,5,18
2027006014,01/12/2018,Single Family,7361 N WOODVALE CT,LOS ANGELES,CA,91307,12,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,"7361 N WOODVALE CT
LOS ANGELES, CA 91307
(34.201458, -118.633719)",4283,283,1471,,2,44
7416021028,01/05/2018,Multi-Family,829 N BAY VIEW AVE,WILMINGTON,CA,90744,15,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,"829 N BAY VIEW AVE
WILMINGTON, CA 90744
(33.780209, -118.269956)",3350,964,641,,15,15
6006026009,01/26/2018,Single Family,424 E 60TH ST,LOS ANGELES,CA,90003,9,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,"424 E 60TH ST
LOS ANGELES, CA 90003
(33.985181, -118.266601)",22352,786,858,7,13,46
2123015011,06/28/2018,Single Family,18025 W VICTORY BLVD,LOS ANGELES,CA,91335,3,RoundPoint Mortgage Servicing Corporation,Elizabeth Harting,704-426-8874,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,"18025 W VICTORY BLVD
LOS ANGELES, CA 91335
(34.186615, -118.526398)",18909,267,304,,4,12
6040029031,03/20/2018,Single Family,206 W 89TH ST,LOS ANGELES,CA,90003,8,Cenlar FSB,ATHENA SANTOS,720-945-5431,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"206 W 89TH ST
LOS ANGELES, CA 90003
(33.955539, -118.276255)",22352,800,358,7,14,45
5006014001,01/24/2018,Single Family,5468 S 10TH AVE,LOS ANGELES,CA,90043,8,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,"5468 S 10TH AVE
LOS ANGELES, CA 90043
(33.991072, -118.328175)",23674,752,1036,7,14,24
4118017091,05/29/2018,Single Family,8120 W MANITOBA ST,LOS ANGELES,CA,90293,11,California Credit Union,Marlene Gonzalez,818-291-5503,First American Trustee Servicing Solutions,First American Trustee Servicing Solutions,1   First American WAY  Santa Ana CA 91203,817-699-4131,"8120 W MANITOBA ST
LOS ANGELES, CA 90293
(33.955976, -118.43613)",25075,930,1440,10,10,16
2122020020,01/15/2018,Single Family,6618 N ZELZAH AVE,LOS ANGELES,CA,91335,3,Shellpoint Mortgage Servicing,Tracy Hall,864-312-4380,"Cyprexx Services, LLC",Code Compliance,41951   Remington AVE 150 Temecula CA 92590,877-339-8202,"6618 N ZELZAH AVE
LOS ANGELES, CA 91335
(34.190909, -118.522478)",18909,267,247,,4,12
5163001116,08/06/2018,Single Family,500 E 1ST ST,LOS ANGELES,CA,90012,14,Equity Wave Lending,Blanca Garibay,949-252-0025,NULL,NULL,,NULL,"500 E 1ST ST
LOS ANGELES, CA 90012
(34.048842, -118.237414)",22728,533,466,,9,28
4228001010,01/05/2018,Multi-Family,1720 S ABBOT KINNEY BLVD,VENICE,CA,90291,11,"BAYVIEW LOAN SERVICING, LLC",MICHAEL LOPATA,954-590-7161,MILES PRESERVATION LLC,MR. MILES,27226   Via Industria   Temecula CA 92590,951-808-3346,"1720 S ABBOT KINNEY BLVD
VENICE, CA 90291
(33.98858, -118.461734)",25073,913,1133,10,10,30
5185018030,01/10/2018,Multi-Family,2812 E LANFRANCO ST,LOS ANGELES,CA,90033,14,Trinity c/o Ocwen Loan Servicing LLC,Judy Credit,800-746-2936,OGIWA INCORPORATED,Olatunji Giwa,1028  N Lake AVE 208 PASADENA CA 91104,626-787-1471,"2812 E LANFRANCO ST
LOS ANGELES, CA 90033
(34.035782, -118.207012)",23450,520,239,,9,38
5183025003,01/04/2018,Multi-Family,650 3/4 S CHICAGO ST,LOS ANGELES,CA,90023,14,Celink,Cory Daggett,866-654-0020,GALLARDO EXCAVATION/ FIVE BROTHERS,FERNANDO GALLARDO,15465   KENNEDY   FONTANA CA 92336,909-822-1706,"650 3/4 S CHICAGO ST
LOS ANGELES, CA 90023
(34.037241, -118.217028)",23441,523,947,,9,38
5304001023,03/29/2018,Single Family,4387 N LATONA AVE,LOS ANGELES,CA,90031,1,Cenlar FSB,ATHENA SANTOS,720-945-5431,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"4387 N LATONA AVE
LOS ANGELES, CA 90031
(34.091554, -118.199393)",23448,490,606,,11,92
